,0
CIA_01,russian name igor kolokov arrest cairo januari charg assault egyptian polic offic attempt arrest drunk public kolokov sell medic suppli throughout middl east repres compani moscow call medikat background check kolokov reveal formerli administr soviet institut vector strizi near kirov russia arrest kolokov carri card note read russian safrygin peshawar
CIA_01,"{'person': ['igor kolokov', 'kolokov'], 'location': ['cairo', 'the middle east', 'moscow', 'strizi', 'russia'], 'date': ['29 january, 2003'], 'organization': ['the soviet institute']}"
CIA_02,david loiseau canadian citizen toronto kanjak train camp wound near gizab march b raeed beandali american detroit mine warfar train al khaldun train camp wound near qalat novemb sent london decemb c fahd khadr canadian montreal light weapon train train camp sent home octob
CIA_02,"{'person': ['david loiseau', 'kanjak', 'raeed beandali', 'al khaldun', 'fahd khadr', 'al-badr'], 'location': ['toronto', 'detroit', 'london'], 'date': ['2000-2001', 'march 2002', '2000-2001', 'qalat', '26 november, 2002', '12 december, 2002', '1999-2000', '23 october, 2000'], 'organization': []}"
CIA_03,surveil report cesar arz whose resid avenu franci santo domingo dominican republ arz move havana cuba santo domingo work medic technician santo domingo arz surveil inform associ cuban intellig servic arz photograph compani man identifi hector lopez bogota columbia januari lopez known repres farc conduct narcot distribut activ throughout south central america caribbean
CIA_03,"{'person': ['arze', 'arze', 'arze'], 'location': ['havana', 'cuba', 'bogota', 'columbia', 'caribbean'], 'date': ['1992', '23 january, 2003'], 'organization': []}"
CIA_04,sourc report observ near calamar march three men knew cuban discuss transfer cocain member nation liber armi eln columbia sourc recogn one cuban jose escalant sourc say knew escalant student school medic laboratori technician havana sourc said believ escalant work capac cuban militari sourc also state cuban repres frequent visit area columbia ecuador peru arrang exchang weapon variou sort need eln cocain eln suppli cuban sell distribut narcot throughout caribbean central american region
CIA_04,"{'person': ['jose escalante'], 'location': ['calamar', 'havana', 'columbia', 'ecuador', 'peru', 'caribbean'], 'date': ['3 march', '2003', '1991'], 'organization': []}"
CIA_05,pyotr safrygin formerli director secur vector institut strizi russia hold posit director secur central russia airlin born lipetsk russia decemb live moscow
CIA_05,"{'person': [], 'location': ['strizi', 'russia', 'russia', 'russia', 'moscow'], 'date': ['26 december, 1950'], 'organization': ['the vector institute']}"
CIA_06,saeed hasham alias hamid qatada yasir salman member central staff al qaeda head farooq train camp khost area name appear mani plan document insurg activ jorm taloqan salang tunnel receiv special notic osama bin laden septemb plan success insurg action b khalid taha record alias egyptian head spin shaga camp pakhtia provinc kashmiri milit special chemic weapon c fahd al badawi record alias saudi medic degre univers cairo egypt specialti immunolog medic staff farooq train camp award success treat osama bin laden bacteri infect juli
CIA_06,"{'person': ['hamid qatada', 'bin laden', 'al badawi', 'bin laden'], 'location': ['khost area', 'pakhtia province', 'egypt'], 'date': ['2002', '22 september 2002', '2001', 'july', '2000'], 'organization': ['al qaeda', 'university of cairo']}"
CIA_07,april suret de issu bulletin concern moroccan name abdillah zinedin alia abu haf among other occupi hous rue duhesm zinedin want connect attempt blow fair sauter amercan embassi pari fall zinedin explos expert afghanistan provid al qaeda member explos train al badr ii train camp pakhtia provinc area afghanistan recent learn zinedin left pari flight montreal canada april use fraudul french passport name mehdi rafiki anoth occup hous rue duhesm interrog report abu haf knew zinedin said way chicago visit old friend identifi murad sourc identifi anoth moroccan zakarya ziyad said zinedin mention murad would great thing sever citi america
CIA_07,"{'person': ['abdillah zinedine', 'abu hafs', 'zinedine', 'zinedine', 'abu hafs'], 'location': ['paris', 'afghanistan', 'afghanistan', 'paris', 'montreal', 'canada', 'chicago', 'murad', 'america'], 'date': ['2 april, 2003', 'the fall of 2001', '1997 - 2000', '1 april, 2003'], 'organization': ['al qaeda']}"
